年级单元,单词,音标,释义,例句
九年级上册U1,sandstorm,/ˈsændstɔːm/,沙尘暴,The sandstorm covered everything with dust.
九年级上册U1,farmland,/ˈfɑːmlænd/,耕地,The farmland is very fertile.
九年级上册U1,shortage,/ˈʃɔːtɪdʒ/,短缺,There is a shortage of water in this area.
九年级上册U1,lack,/læk/,缺乏,The plants died for lack of water.
九年级上册U1,bush,/bʊʃ/,灌木,The rabbit hid in the bush.
九年级上册U1,root,/ruːt/,根,Trees have deep roots.
九年级上册U1,soil,/sɔɪl/,土壤,Plants grow in soil.
九年级上册U1,sandy,/ˈsændi/,含沙的；铺满沙子的,The beach is sandy.
九年级上册U1,government,/ˈɡʌvənmənt/,政府,The government helps protect the environment.
九年级上册U1,support,/səˈpɔːt/,支持,We should support each other.
九年级上册U1,corn,/kɔːn/,玉米；谷物,The farmer grows corn.
九年级上册U1,high-tech,/ˌhaɪ ˈtek/,高科技的,High-tech farming helps grow more food.
九年级上册U1,greenhouse,/ˈɡriːnhaʊs/,温室,The plants grow in a greenhouse.
九年级上册U1,highway,/ˈhaɪweɪ/,公路,The highway connects the two cities.
九年级上册U1,railway,/ˈreɪlweɪ/,铁路,The railway runs across the country.
九年级上册U1,attraction,/əˈtrækʃn/,吸引人的地方；吸引力,The Great Wall is a tourist attraction.
九年级上册U1,product,/ˈprɒdʌkt/,产品,This product is made in China.
九年级上册U1,greatly,/ˈɡreɪtli/,大大地；非常,The city has greatly changed.
九年级上册U1,digital,/ˈdɪdʒɪtl/,数字的；电子的,We use digital payments every day.
九年级上册U1,audio,/ˈɔːdiəʊ/,音频的；音频,The audio quality is very good.
九年级上册U1,dirt,/dɜːt/,泥土；尘土,The car was covered with dirt.
九年级上册U1,track,/træk/,小路；轨道,We walked along the track.
九年级上册U1,wide,/waɪd/,宽的,The river is very wide.
九年级上册U1,housing,/ˈhaʊzɪŋ/,住房；住宅,The city has new housing developments.
九年级上册U1,rough,/rʌf/,崎岖的；粗糙的,The road was rough and bumpy.
