grade_unit,单词,音标,释义,例句
八年级上册U1,"ancient","/ˈeɪnʃənt/","古代的；古老的",
八年级上册U1,"camp","/kæmp/","度假营；营地 v. 露营；宿营",
八年级上册U1,"landscape","/ˈlændskeɪp/","风景；景色",
八年级上册U1,"strange","/streɪndʒ/","奇怪的；陌生的",
八年级上册U1,"vacation","/vəˈkeɪʃn/","假期；度假",
八年级上册U1,"fantastic","/fænˈtæstɪk/","极好的；了不起的",
八年级上册U1,"town","/taʊn/","镇；商业区",
八年级上册U1,"breath","/breθ/","呼吸的空气；一口气 take sb’s breath away 令人惊叹； 让人叹绝",
八年级上册U1,"especially","/ɪˈspeʃəli/","尤其；特别",
八年级上册U1,"steamed chicken soup","/stiːmd/","汽锅鸡",
八年级上册U1,"anywhere","/ˈeniweə(r)/","在任何地方；随便哪个地方",
八年级上册U1,"nothing","/ˈnʌθɪŋ/","没有任何东西；没有事",
八年级上册U1,"scenery","/ˈsiːnəri/","风景；景色",
八年级上册U1,"silk","/sɪlk/","丝绸；（蚕）丝",
八年级上册U1,"scarf","/skɑːf/","围巾；披巾 nothing but 只有；只是",
八年级上册U1,"hotel","/həʊˈtel/","旅馆；旅社",
八年级上册U1,"comfortable","/ˈkʌmftəbl/","使人舒服的；舒适的",
八年级上册U1,"ready","/ˈredi/","准备好的；现成的 adv. 已做完；已完成 ready to do sth 马上要（做某事）； 愿意做（某事）",
八年级上册U1,"somewhere","/ˈsʌmweə(r)/","在某处；到某处 pron. 某处；某个地方",
八年级上册U1,"sky","/skaɪ/","天；天空",
八年级上册U1,"bored","/bɔːd/","厌倦的；烦闷的 stand up 站起；起立",
八年级上册U1,"towards (= toward) prep.","/təˈwɔːdz; tɔːrdz/","向；朝",
八年级上册U1,"rainbow","/ˈreɪnbəʊ/","虹；彩虹",
八年级上册U1,"square","/skweə(r)/","广场；正方形 adj. 正方形的；平方的",
八年级上册U1,"during","/ˈdjʊərɪŋ/","在……期间",
八年级上册U1,"victory","/ˈvɪktəri/","胜利；成功",
八年级上册U1,"Russian","/ˈrʌʃn/","俄罗斯的；俄罗斯人的 n. 俄罗斯人；俄语",
八年级上册U1,"fight","/faɪt/","战斗；搏斗；斗争",
八年级上册U1,"against","/əˈɡenst/","反对；与……相反；紧靠",
八年级上册U1,"guide","/ɡaɪd/","导游；指南；手册 v. 给某人领路；指导",
八年级上册U1,"artwork","/ˈɑːtwɜːk/","艺术作品；插图 thousands of 数以千计的；成千上万的",
八年级上册U1,"tear","/tɪə(r)/","眼泪；泪水",
八年级上册U1,"remind","/rɪˈmaɪnd/","提醒；使想起",
