年级单元,单词,音标,释义,例句
八年级下册U1,calligraphy,/kəˈlɪɡrəfi/,书法,He practices Chinese calligraphy.
八年级下册U1,ski,/skiː/,滑雪,We go skiing in winter.
八年级下册U1,program,/ˈprəʊɡræm/,编写程序；节目,He wrote a computer program.
八年级下册U1,express,/ɪkˈspres/,表达；表示,Express your feelings freely.
八年级下册U1,instructor,/ɪnˈstrʌktə(r)/,教练；指导者,He is a driving instructor.
八年级下册U1,return,/rɪˈtɜːn/,回来；归还,Please return the book.
八年级下册U1,suggestion,/səˈdʒestʃən/,建议,Thank you for your suggestion.
八年级下册U1,strict,/strɪkt/,严厉的；严格的,Our teacher is strict but fair.
八年级下册U2,stomachache,/ˈstʌməkeɪk/,胃痛；肚子疼,I have a stomachache.
八年级下册U2,headache,/ˈhedeɪk/,头痛,She has a bad headache.
八年级下册U2,cough,/kɒf/,咳嗽,He coughs because of the cold.
八年级下册U2,fever,/ˈfiːvə(r)/,发烧,She has a high fever.
八年级下册U2,medicine,/ˈmedsn/,药；医学,Take this medicine three times a day.
八年级下册U2,patient,/ˈpeɪʃnt/,病人；有耐心的,The patient is getting better.
八年级下册U2,safety,/ˈseɪfti/,安全,Safety comes first.
八年级下册U2,burn,/bɜːn/,燃烧；烧伤,Be careful not to burn your hand.
八年级下册U2,bleed,/bliːd/,流血,His finger is bleeding.
八年级下册U3,emotion,/ɪˈməʊʃn/,情绪；情感,She can't control her emotions.
八年级下册U3,upset,/ʌpˈset/,难过的；沮丧的,Don't be upset about the exam.
八年级下册U3,lonely,/ˈləʊnli/,孤独的,The old man feels lonely.
八年级下册U3,control,/kənˈtrəʊl/,控制,Learn to control your temper.
八年级下册U3,forgive,/fəˈɡɪv/,原谅；宽恕,Please forgive me.
八年级下册U3,pressure,/ˈpreʃə(r)/,压力,Don't put pressure on yourself.
八年级下册U3,decision,/dɪˈsɪʒn/,决定,It's your decision to make.
八年级下册U3,behave,/bɪˈheɪv/,表现；举止得体,Behave yourself in public.
八年级下册U4,wonder,/ˈwʌndə(r)/,奇观；想知道,I wonder why he is late.
八年级下册U4,desert,/ˈdezət/,沙漠,The camel lives in the desert.
八年级下册U4,depth,/depθ/,深度,The depth of the river is 10 meters.
八年级下册U4,survive,/səˈvaɪv/,生存,Only the strong can survive.
八年级下册U4,risk,/rɪsk/,冒风险；危险,Don't take too much risk.
