年级单元,单词,音标,释义,例句
九年级全一册U1,textbook,/ˈtekstbʊk/,教科书；课本,Open your textbook to page 10.
九年级全一册U1,conversation,/ˌkɒnvəˈseɪʃn/,交谈；谈话,We had a good conversation.
九年级全一册U1,aloud,/əˈlaʊd/,大声地；出声地,Please read aloud.
九年级全一册U1,pronunciation,/prəˌnʌnsiˈeɪʃn/,发音；读音,Your pronunciation is great.
九年级全一册U1,sentence,/ˈsentəns/,句子,Make a sentence with this word.
九年级全一册U1,patient,/ˈpeɪʃnt/,有耐心的；病人,Be patient and you will succeed.
九年级全一册U1,expression,/ɪkˈspreʃn/,表达（方式）；表示,Facial expressions show feelings.
九年级全一册U1,discover,/dɪˈskʌvə(r)/,发现；发觉,I discovered a new restaurant.
九年级全一册U1,secret,/ˈsiːkrət/,秘密；秘诀,Can you keep a secret?
九年级全一册U1,grammar,/ˈɡræmə(r)/,语法,Learning grammar is important.
九年级全一册U1,repeat,/rɪˈpiːt/,重复；重做,Please repeat the question.
九年级全一册U1,note,/nəʊt/,笔记；记录；注意,Take notes in class.
九年级全一册U1,physics,/ˈfɪzɪks/,物理；物理学,Physics is my favorite subject.
九年级全一册U1,chemistry,/ˈkemɪstri/,化学,We have chemistry on Wednesday.
九年级全一册U1,partner,/ˈpɑːtnə(r)/,搭档；同伴,Work with your partner.
九年级全一册U1,pronounce,/prəˈnaʊns/,发音,How do you pronounce this word?
九年级全一册U1,increase,/ɪnˈkriːs/,增加；增长,Reading increases your vocabulary.
九年级全一册U1,speed,/spiːd/,速度；加速,Read at a comfortable speed.
九年级全一册U1,ability,/əˈbɪləti/,能力；才能,She has great musical ability.
九年级全一册U1,brain,/breɪn/,大脑,Use your brain to solve it.
九年级全一册U1,active,/ˈæktɪv/,活跃的；积极的,She is very active in class.
九年级全一册U1,attention,/əˈtenʃn/,注意；关注,Pay attention to the teacher.
九年级全一册U1,connect,/kəˈnekt/,（使）连接；与……有联系,Connect these two ideas.
九年级全一册U1,review,/rɪˈvjuː/,回顾；复习,Review the lesson after class.
九年级全一册U1,knowledge,/ˈnɒlɪdʒ/,知识；学问,Knowledge is power.
九年级全一册U1,wisely,/ˈwaɪzli/,明智地；聪明地,Choose your words wisely.
九年级全一册U2,lantern,/ˈlæntən/,灯笼,Red lanterns are beautiful.
九年级全一册U2,stranger,/ˈstreɪndʒə(r)/,陌生人,Don't talk to strangers.
九年级全一册U2,relative,/ˈrelətɪv/,亲属；亲戚,We visit our relatives during Spring Festival.
九年级全一册U2,later,/ˈleɪtə(r)/,后来,See you later!
九年级全一册U2,steal,/stiːl/,偷；窃取,Someone stole my bag.
九年级全一册U2,lay,/leɪ/,放置；产（卵）,Lay the book on the table.
九年级全一册U2,dessert,/dɪˈzɜːt/,（饭后）甜点；甜食,I'd like some dessert.
九年级全一册U2,garden,/ˈɡɑːdn/,花园；园子,We have a beautiful garden.
九年级全一册U2,admire,/ədˈmaɪə(r)/,欣赏；仰慕,I admire your courage.
九年级全一册U2,tie,/taɪ/,领带；捆；束,He wears a red tie.
九年级全一册U2,ghost,/ɡəʊst/,鬼；鬼魂,Do you believe in ghosts?
九年级全一册U2,trick,/trɪk/,花招；把戏,He played a trick on me.
九年级全一册U2,treat,/triːt/,款待；招待；请客,Let me treat you to lunch.
九年级全一册U2,spider,/ˈspaɪdə(r)/,蜘蛛,A spider has eight legs.
九年级全一册U2,Christmas,/ˈkrɪsməs/,圣诞节,Merry Christmas!
九年级全一册U2,fool,/fuːl/,蠢人；傻瓜；愚弄,Don't be a fool.
九年级全一册U2,lie,/laɪ/,平躺；处于,He lies on the bed.
九年级全一册U2,novel,/ˈnɒvl/,（长篇）小说,I am reading a novel.
九年级全一册U2,eve,/iːv/,前夕；前夜,New Year's Eve is on December 31st.
九年级全一册U2,dead,/ded/,死的；失去生命的,The flower is dead.
九年级全一册U2,business,/ˈbɪznəs/,生意；商业,He runs a small business.
九年级全一册U2,punish,/ˈpʌnɪʃ/,处罚；惩罚,The teacher will punish you.
九年级全一册U2,warn,/wɔːn/,警告；告诫,I warn you to be careful.
九年级全一册U2,present,/ˈpreznt/,现在；礼物,Here is your birthday present.
九年级全一册U2,warmth,/wɔːmθ/,温暖；暖和,I can feel the warmth of the sun.
九年级全一册U2,spread,/spred/,传播；展开；蔓延,The news spread quickly.
九年级全一册U3,restroom,/ˈrestruːm/,（美）洗手间；公共厕所,Where is the restroom?
九年级全一册U3,stamp,/stæmp/,邮票；印章,I need a stamp for this letter.
九年级全一册U3,postcard,/ˈpəʊstkɑːd/,明信片,I sent a postcard from Beijing.
九年级全一册U3,pardon,/ˈpɑːdn/,请再说一遍,Pardon? I didn't hear you.
九年级全一册U3,washroom,/ˈwɒʃruːm/,洗手间；厕所,The washroom is on the right.
九年级全一册U3,bathroom,/ˈbɑːθruːm/,浴室；洗手间,May I use your bathroom?
九年级全一册U3,quick,/kwɪk/,快的；迅速的,Be quick! We're late.
九年级全一册U3,rush,/rʌʃ/,仓促；急促,Don't rush! Take your time.
九年级全一册U3,suggest,/səˈdʒest/,建议；提议,I suggest we go by bus.
九年级全一册U3,staff,/stɑːf/,管理人员；职工,The staff are very helpful.
九年级全一册U3,grape,/ɡreɪp/,葡萄,These grapes are sweet.
九年级全一册U3,central,/ˈsentrəl/,中心的；中央的,The hotel is in central London.
九年级全一册U3,mail,/meɪl/,邮寄；发电子邮件,Please mail the letter.
九年级全一册U3,fascinating,/ˈfæsɪneɪtɪŋ/,迷人的；有吸引力的,The story is fascinating.
九年级全一册U3,convenient,/kənˈviːniənt/,便利的；方便的,The subway is convenient.
九年级全一册U3,mall,/mɔːl/,商场；购物中心,Let's go to the mall.
九年级全一册U3,clerk,/klɑːk/,职员,He works as a bank clerk.
九年级全一册U3,corner,/ˈkɔːnə(r)/,拐角；角落,The shop is on the corner.
九年级全一册U3,polite,/pəˈlaɪt/,有礼貌的；客气的,Be polite to others.
九年级全一册U3,politely,/pəˈlaɪtli/,礼貌地；客气地,Speak politely to your elders.
