年级单元,单词,音标,释义,例句
七年级上册S1,unit,/ˈjuːnɪt/,单元,This is Starter Unit 1.
七年级上册S1,section,/ˈsekʃn/,部分；地区,Read Section A first.
七年级上册S1,greet,/ɡriːt/,打招呼；问候,We greet each other every morning.
七年级上册S1,each,/iːtʃ/,每个；各自,Each student has a book.
七年级上册S1,other,/ˈʌðə(r)/,另外的人（或物）,Help each other.
七年级上册S1,oh,/əʊ/,哦；啊,Oh I see!
七年级上册S1,everyone,/ˈevriwʌn/,每人；所有人,Hello everyone!
七年级上册S1,start,/stɑːt/,开始；着手,Let's start our lesson.
七年级上册S1,conversation,/ˌkɒnvəˈseɪʃn/,谈话；交谈,We have a conversation.
七年级上册S1,spell,/spel/,用字母拼；拼写,How do you spell your name?
七年级上册S1,bell,/bel/,铃（声）；钟（声）,The bell rings at 8 o'clock.
七年级上册S2,bottle,/ˈbɒtl/,瓶子,This is a water bottle.
七年级上册S2,eraser,/ɪˈreɪzə(r)/,橡皮,May I use your eraser?
七年级上册S2,key,/kiː/,钥匙；关键,This is my key.
七年级上册S2,thing,/θɪŋ/,东西；事情,What is that thing?
七年级上册S2,need,/niːd/,需要,I need a pen.
七年级上册S2,welcome,/ˈwelkəm/,受欢迎的；别客气,You're welcome!
七年级上册S3,fun,/fʌn/,乐趣；有趣的,We have fun at school.
七年级上册S3,yard,/jɑːd/,院子；园圃,The cat is in the yard.
七年级上册S3,carrot,/ˈkærət/,胡萝卜,Rabbits like carrots.
七年级上册S3,goose,/ɡuːs/,鹅（pl. geese）,The geese are in the yard.
七年级上册S3,count,/kaʊnt/,数数,Count from 1 to 10.
七年级上册S3,another,/əˈnʌðə(r)/,另一；又一（人或事物）,I want another apple.
七年级上册S3,else,/els/,其他的；别的,What else do you need?
七年级上册S3,circle,/ˈsɜːkl/,圈出；圆形,Circle the correct answer.
七年级上册U1,full,/fʊl/,完整的；满的,What's your full name?
七年级上册U1,grade,/ɡreɪd/,年级；等级,I am in Grade 7.
七年级上册U1,classmate,/ˈklɑːsmeɪt/,同班同学,She is my classmate.
七年级上册U1,mistake,/mɪˈsteɪk/,错误；失误,Don't be afraid of mistakes.
七年级上册U1,country,/ˈkʌntri/,国家,China is a big country.
七年级上册U1,same,/seɪm/,相同的,We are in the same class.
七年级上册U1,twin,/twɪn/,双胞胎之一,They are twin sisters.
七年级上册U1,both,/bəʊθ/,两个；两个都,We both like music.
七年级上册U1,band,/bænd/,乐队,He is in the school band.
七年级上册U1,tofu,/ˈtəʊfuː/,豆腐,I like Mapo tofu.
七年级上册U1,parrot,/ˈpærət/,鹦鹉,The parrot can talk.
七年级上册U1,guitar,/ɡɪˈtɑː(r)/,吉他,He plays the guitar well.
七年级上册U1,tennis,/ˈtenɪs/,网球,Let's play tennis.
七年级上册U1,post,/pəʊst/,帖子；邮寄,He posted a photo online.
七年级上册U1,even,/ˈiːvn/,甚至；连,Even a child can do it.
七年级上册U1,hobby,/ˈhɒbi/,业余爱好,My hobby is reading.
七年级上册U1,information,/ˌɪnfəˈmeɪʃn/,信息；消息,Can I have your information?
七年级上册U2,mean,/miːn/,意思是；打算,What does this word mean?
七年级上册U2,husband,/ˈhʌzbənd/,丈夫,Her husband is a teacher.
七年级上册U2,bat,/bæt/,球棒；球拍,I have a baseball bat.
七年级上册U2,together,/təˈɡeðə(r)/,在一起；共同,Let's go together.
七年级上册U2,fishing rod,,钓竿,My grandpa has a fishing rod.
七年级上册U2,spend,/spend/,花（时间、钱等）,I spend two hours on homework.
七年级上册U2,really,/ˈriːəli/,非常；确实；真正地,I really like this book.
七年级上册U2,activity,/ækˈtɪvəti/,活动,We have many activities.
七年级上册U2,chess,/tʃes/,国际象棋,He plays chess well.
七年级上册U2,funny,/ˈfʌni/,好笑的；奇怪的,The story is funny.
七年级上册U2,laugh,/lɑːf/,笑；发笑；笑声,The joke makes us laugh.
七年级上册U2,different,/ˈdɪfrənt/,不同的,We are in different classes.
七年级上册U2,violin,/ˌvaɪəˈlɪn/,小提琴,She plays the violin.
七年级上册U2,pink,/pɪŋk/,粉红色（的）,Her bag is pink.
七年级上册U2,hat,/hæt/,帽子,Put on your hat.
七年级上册U2,handsome,/ˈhænsəm/,英俊的,The actor is handsome.
七年级上册U2,knee,/niː/,膝；膝盖,He hurt his knee.
七年级上册U2,grandchild,/ˈɡræntʃaɪld/,（外）孙子；（外）孙女,They have three grandchildren.
七年级上册U2,son,/sʌn/,儿子,Their son is a doctor.
七年级上册U2,hike,/haɪk/,远足；徒步旅行,We go hiking on weekends.
七年级上册U3,hall,/hɔːl/,礼堂；大厅,We meet in the hall.
七年级上册U3,dining hall,,餐厅,We eat lunch in the dining hall.
七年级上册U3,building,/ˈbɪldɪŋ/,建筑物；房子,The school building is new.
七年级上册U3,across,/əˈkrɒs/,过；穿过,Walk across the street.
七年级上册U3,field,/fiːld/,场地；田地,The children play on the field.
七年级上册U3,sports field,,运动场,We run on the sports field.
七年级上册U3,gym,/dʒɪm/,体育馆；健身房,He goes to the gym every day.
七年级上册U3,office,/ˈɒfɪs/,办公室,The teachers are in the office.
七年级上册U3,large,/lɑːdʒ/,大的；大号的,The classroom is large.
